Date,Avg_temp,Temp_diff,Consumer_price,Cow_disease
20140916,21.3,11.2,68572,430
20140917,20.2,5,67377,430
20140918,20.6,10.8,67710,430
20140919,21.4,13.5,68010,430
20140922,21.4,12.9,68054,430
20140923,23,10.9,67658,430
20140924,20.3,5.8,68213,430
20140925,22.2,10,66574,430
20140926,21,5.6,66476,430
20140929,19.4,3,66157,430
20140930,18.9,8.3,66157,430
20141001,19.2,9.5,66535,513
20141002,18.1,3,67540,513
20141006,16.6,12.1,67124,513
20141007,16.1,10.9,67634,513
20141008,16.7,13.6,67920,513
20141010,19,13.8,67184,513
20141013,17.4,10.7,67726,513
20141014,13.8,11.5,67323,513
20141015,13.8,11.1,66733,513
20141016,13.2,8.7,66437,513
20141017,13.6,14.6,65989,513
20141020,14.4,4.2,66721,513
20141021,13.8,3.8,68063,513
20141022,13.6,8.3,68551,513
20141023,13.8,12.1,69119,513
20141024,15.1,11.1,69484,513
20141027,10.7,10.8,68362,513
20141028,10.2,16.7,68362,513
20141029,12.1,15.9,68100,513
20141030,14.2,13.1,67921,513
20141031,15,5.4,67805,513
20141103,9.3,11,66959,450
20141104,11.3,13.1,67646,450
20141105,12.4,12,68159,450
20141106,13.5,8.2,67862,450
20141107,9.8,11.4,67659,450
20141110,9.4,13,67403,450
20141111,9.4,9.9,67403,450
20141112,6,11.3,67317,450
20141113,-0.2,7.4,67441,450
20141114,4.2,11.4,67711,450
20141117,6.2,5.2,68165,450
20141118,5,8.7,68246,450
20141119,5.6,13.2,68468,450
20141120,7.9,11.9,68211,450
20141121,11.3,10.6,67983,450
20141124,9.8,5.2,67983,450
20141125,10.2,8.5,67714,450
20141126,11,8.1,67477,450
20141127,10.4,8.2,67640,450
20141128,8.8,3.6,66780,450
20141201,-1.1,15.1,66780,573
20141202,-5.4,5.5,66780,573
20141203,-3.3,6,66975,573
20141204,-4.6,7.2,67390,573
20141205,-6.6,7.6,67049,573
20141208,-1.6,7.5,66776,573
20141209,-2.4,11.5,66800,573
20141210,1.6,6.1,66923,573
20141211,-1.5,8.4,66108,573
20141212,-3.8,7.5,66108,573
20141215,-0.1,3.7,66276,573
20141216,-4.9,11.1,66425,573
20141217,-9,5.9,66711,573
20141218,-8.3,11,67938,573
20141219,-3.8,8.1,67734,573
20141222,-4.7,10.5,66621,573
20141223,-1.3,7.5,66351,573
20141224,1.7,9.5,66218,573
20141226,-3.2,9.9,66783,573
20141229,2.9,6.9,66136,573
20141230,1.9,7.9,66425,573
20141231,-1.9,8.6,64233,573
20150102,-6,7.1,64390,277
20150105,3.7,9,65654,277
20150106,-3.2,11.6,65397,277
20150107,-5.5,8.3,65539,277
20150108,-5.1,9.3,62858,277
20150109,-2.1,10.3,62858,277
20150112,-2.7,11,62440,277
20150113,0.2,10.9,62440,277
20150114,2.5,6.4,62235,277
20150115,2.8,10.1,65114,277
20150116,0.8,5.9,64923,277
20150119,-0.1,7.1,65555,277
20150120,-0.9,10.8,65721,277
20150121,2.6,7.7,65721,277
20150122,3.1,6.3,66428,277
20150123,1.2,6.5,66300,277
20150126,3.6,6.3,66831,277
20150127,-3.6,7.9,66754,277
20150128,-4.1,11.8,66376,277
20150129,-1.1,7.6,66855,277
20150130,-3.3,7.8,66725,277
20150202,-0.6,11.7,66725,226
20150203,0.6,10.7,67435,226
20150204,0.4,8.9,67610,226
20150205,-0.1,8.6,65660,226
20150206,0.4,10.8,65723,226
20150209,-5.7,12.9,65331,226
20150210,1.7,7.8,65844,226
20150211,2.7,8.8,65844,226
20150212,-2.2,6.3,66495,226
