Date,Consumer_price
20151117,77224
20151118,77224
20151119,76873
20151120,76800
20151123,76988
20151124,77230
20151125,77230
20151126,77897
20151127,77436
20151130,77953
20151201,77953
20151202,78583
20151203,78394
20151204,78394
20151207,77928
20151208,77928
20151209,77928
20151210,76668
20151211,76668
20151214,76468
20151215,76565
20151216,76988
20151217,76570
20151218,75958
20151221,77139
20151222,77242
20151223,77242
20151224,77031
20151228,78121
20151229,78438
20151230,78713
20151231,77981
20160104,78497
20160105,78548
20160106,78738
20160107,76974
20160108,76924
20160111,77156
20160112,77130
20160113,77152
20160114,77948
20160115,78252
20160118,79382
20160119,79382
20160120,79685
20160121,79260
20160122,78809
20160125,78809
20160126,78809
20160127,78809
20160128,80009
20160129,80759
20160201,80994
20160202,80658
20160203,80738
20160204,81382
20160205,81533
20160211,82541
20160212,81929
20160215,82709
20160216,82406
20160217,81919
20160218,82224
20160219,81252
20160222,80850
20160223,81100
20160224,80218
20160225,79985
20160226,78664
20160229,80078
20160302,80116
20160303,80147
20160304,80009
20160307,80561
20160308,81891
20160309,82068
20160310,82479
20160311,81532
20160314,81648
20160315,82103
20160316,82206
20160317,80083
20160318,79975
20160321,79669
20160322,80275
20160323,80281
20160324,81197
20160325,80967
20160328,81737
20160329,81423
20160330,81737
20160331,80012
20160401,80012
20160404,79106
20160405,79694
20160406,80306
20160407,79394
20160408,79394
20160411,80229
20160412,80229
20160414,77851
20160415,77280
20160418,77177
20160419,77177
20160420,77749
20160421,79823
20160422,79871
20160425,80646
20160426,81360
20160427,81074
20160428,74620
20160429,72800
20160502,73291
20160503,73291
20160504,72763
20160509,75019
20160510,74528
20160511,74889
20160512,72714
20160513,72158
20160516,73017
20160517,73017
20160518,72464
20160519,72606
20160520,72050
20160523,74722
20160524,74722
20160525,74722
20160526,74822
20160527,74592
20160530,75323
20160531,75420
20160601,74200
20160602,74691
20160603,75306
20160607,76957
20160608,76717
20160609,75874
20160610,76203
20160613,75849
20160614,75849
20160615,75063
20160616,75418
20160617,75779
20160620,76585
20160621,76536
20160622,76852
20160623,76826
20160624,76529
20160627,78441
20160628,77316
20160629,77548
20160630,77853
20160701,77130
20160704,78009
20160705,78634
20160706,79391
20160707,78391
20160708,77797
20160711,79221
20160712,79541
20160713,78981
20160714,76683
20160715,77483
20160718,78453
20160719,78609
20160720,78859
20160721,76953
20160722,76813
20160725,78319
20160726,78521
20160727,77888
20160728,78172
20160729,77359
20160801,78332
20160802,77655
20160803,77769
20160804,78088
20160805,77703
20160808,77621
20160809,77530
20160810,77530
20160811,79485
20160812,78720
20160816,79074
20160817,79640
20160818,79297
20160819,78632
20160822,79766
20160823,80300
20160824,80359
20160825,80733
20160826,80538
20160829,81413
20160830,81440
20160831,80583
20160901,79158
20160902,79153
20160905,79452
20160906,79452
20160907,79452
20160908,79879
20160909,79879
20160912,79997
20160919,81097
20160920,80946
20160921,80836
20160922,79711
